review,rating,region,platform,language,label
Decent product for the price. Packaging could be better though.,3,Delhi,Flipkart,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Karnataka,Snapdeal,Bengali,Fake
Decent product for the price. Packaging could be better though.,1,Karnataka,Myntra,Telugu,Legit
Received the item in good condition. Works as expected.,4,Karnataka,Amazon,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,Karnataka,Myntra,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Tamil Nadu,Myntra,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,1,Maharashtra,Flipkart,Bengali,Fake
Decent product for the price. Packaging could be better though.,4,Maharashtra,Zomato,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Delhi,Snapdeal,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Maharashtra,Flipkart,Telugu,Legit
OMG this is the best phone in the universe!!!!,3,Maharashtra,Amazon,Tamil,Fake
Great product. Great service. Great everything.,1,West Bengal,Flipkart,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Maharashtra,Flipkart,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Delhi,Snapdeal,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Delhi,Zomato,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,5,Tamil Nadu,Zomato,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Tamil Nadu,Zomato,Tamil,Legit
Decent product for the price. Packaging could be better though.,5,Karnataka,Flipkart,English,Legit
Great product. Great service. Great everything.,4,West Bengal,Zomato,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,West Bengal,Flipkart,Telugu,Legit
Great product. Great service. Great everything.,5,Tamil Nadu,Amazon,Tamil,Fake
Received the item in good condition. Works as expected.,2,West Bengal,Myntra,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Karnataka,Amazon,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Karnataka,Myntra,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,Tamil Nadu,Zomato,English,Fake
Received the item in good condition. Works as expected.,3,Tamil Nadu,Myntra,Hindi,Legit
Fits well and is comfortable for long periods of use.,2,Karnataka,Myntra,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Karnataka,Flipkart,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,3,Karnataka,Flipkart,Tamil,Legit
Fits well and is comfortable for long periods of use.,1,West Bengal,Zomato,Tamil,Legit
Fits well and is comfortable for long periods of use.,2,Karnataka,Snapdeal,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,West Bengal,Amazon,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,3,Karnataka,Snapdeal,Telugu,Fake
Great product. Great service. Great everything.,5,Delhi,Flipkart,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Karnataka,Amazon,English,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Karnataka,Flipkart,Tamil,Legit
OMG this is the best phone in the universe!!!!,2,Karnataka,Flipkart,Telugu,Fake
Fits well and is comfortable for long periods of use.,3,West Bengal,Flipkart,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,West Bengal,Snapdeal,Tamil,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,West Bengal,Flipkart,Hindi,Fake
Decent product for the price. Packaging could be better though.,2,Maharashtra,Myntra,Bengali,Legit
Fits well and is comfortable for long periods of use.,5,Delhi,Amazon,Tamil,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Maharashtra,Amazon,Hindi,Legit
Fits well and is comfortable for long periods of use.,4,West Bengal,Snapdeal,English,Legit
Received the item in good condition. Works as expected.,1,West Bengal,Myntra,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Delhi,Amazon,Hindi,Fake
OMG this is the best phone in the universe!!!!,5,Tamil Nadu,Myntra,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Karnataka,Zomato,Bengali,Legit
Great product. Great service. Great everything.,4,West Bengal,Flipkart,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Delhi,Flipkart,English,Fake
OMG this is the best phone in the universe!!!!,5,Maharashtra,Myntra,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,Delhi,Myntra,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Amazon,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Karnataka,Snapdeal,Tamil,Fake
Received the item in good condition. Works as expected.,3,Karnataka,Myntra,Telugu,Legit
Received the item in good condition. Works as expected.,2,Tamil Nadu,Snapdeal,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,West Bengal,Flipkart,Bengali,Fake
OMG this is the best phone in the universe!!!!,2,West Bengal,Amazon,Tamil,Fake
OMG this is the best phone in the universe!!!!,4,Delhi,Amazon,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Karnataka,Flipkart,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Karnataka,Zomato,English,Legit
OMG this is the best phone in the universe!!!!,5,Karnataka,Snapdeal,Hindi,Fake
Great product. Great service. Great everything.,5,West Bengal,Snapdeal,Tamil,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Tamil Nadu,Flipkart,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,3,Karnataka,Snapdeal,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Maharashtra,Amazon,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,3,Tamil Nadu,Myntra,Tamil,Fake
Fits well and is comfortable for long periods of use.,3,Maharashtra,Snapdeal,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,Tamil Nadu,Myntra,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,3,Tamil Nadu,Amazon,Tamil,Legit
Great product. Great service. Great everything.,4,Tamil Nadu,Zomato,Tamil,Fake
OMG this is the best phone in the universe!!!!,5,Delhi,Zomato,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Karnataka,Zomato,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Karnataka,Zomato,Tamil,Fake
Fits well and is comfortable for long periods of use.,1,Maharashtra,Myntra,Hindi,Legit
Received the item in good condition. Works as expected.,2,West Bengal,Myntra,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Karnataka,Zomato,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Tamil Nadu,Flipkart,English,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,5,Delhi,Snapdeal,Tamil,Fake
Received the item in good condition. Works as expected.,2,West Bengal,Snapdeal,Telugu,Legit
OMG this is the best phone in the universe!!!!,2,Karnataka,Zomato,Tamil,Fake
Received the item in good condition. Works as expected.,5,Delhi,Amazon,Hindi,Legit
Fits well and is comfortable for long periods of use.,4,Maharashtra,Flipkart,Tamil,Legit
Great product. Great service. Great everything.,3,Karnataka,Snapdeal,Tamil,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Karnataka,Snapdeal,Telugu,Fake
Received the item in good condition. Works as expected.,5,Delhi,Zomato,English,Legit
OMG this is the best phone in the universe!!!!,3,Tamil Nadu,Flipkart,Bengali,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Maharashtra,Amazon,Bengali,Fake
Decent product for the price. Packaging could be better though.,1,Delhi,Myntra,Hindi,Legit
Fits well and is comfortable for long periods of use.,4,Delhi,Zomato,Tamil,Legit
Fits well and is comfortable for long periods of use.,4,Delhi,Myntra,Hindi,Legit
Decent product for the price. Packaging could be better though.,2,Delhi,Snapdeal,Hindi,Legit
Received the item in good condition. Works as expected.,3,West Bengal,Flipkart,English,Legit
Decent product for the price. Packaging could be better though.,2,Tamil Nadu,Myntra,Tamil,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,West Bengal,Zomato,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Tamil Nadu,Snapdeal,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Maharashtra,Amazon,Tamil,Fake
OMG this is the best phone in the universe!!!!,2,Karnataka,Zomato,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,West Bengal,Zomato,English,Fake
Great product. Great service. Great everything.,5,Tamil Nadu,Myntra,Telugu,Fake
Great product. Great service. Great everything.,3,West Bengal,Zomato,Hindi,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Karnataka,Zomato,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,Karnataka,Snapdeal,English,Fake
Received the item in good condition. Works as expected.,1,Delhi,Zomato,Tamil,Legit
Fits well and is comfortable for long periods of use.,5,Tamil Nadu,Amazon,Telugu,Legit
Fits well and is comfortable for long periods of use.,4,Karnataka,Flipkart,Hindi,Legit
Fits well and is comfortable for long periods of use.,2,Delhi,Myntra,English,Legit
OMG this is the best phone in the universe!!!!,1,Delhi,Zomato,English,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Karnataka,Amazon,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Tamil Nadu,Zomato,Telugu,Legit
OMG this is the best phone in the universe!!!!,1,Karnataka,Flipkart,Tamil,Fake
Received the item in good condition. Works as expected.,1,West Bengal,Flipkart,Tamil,Legit
Received the item in good condition. Works as expected.,5,Delhi,Amazon,Tamil,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,West Bengal,Myntra,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Tamil Nadu,Zomato,English,Fake
Decent product for the price. Packaging could be better though.,2,Tamil Nadu,Snapdeal,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,West Bengal,Amazon,Tamil,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,West Bengal,Myntra,Bengali,Legit
Great product. Great service. Great everything.,5,Maharashtra,Snapdeal,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Delhi,Amazon,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,Karnataka,Flipkart,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Karnataka,Myntra,Bengali,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,West Bengal,Myntra,Bengali,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,5,Delhi,Myntra,Bengali,Fake
OMG this is the best phone in the universe!!!!,4,Maharashtra,Snapdeal,Bengali,Fake
Received the item in good condition. Works as expected.,4,Delhi,Amazon,Bengali,Legit
Decent product for the price. Packaging could be better though.,1,Maharashtra,Amazon,Tamil,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Maharashtra,Myntra,Tamil,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,2,West Bengal,Flipkart,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Zomato,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Tamil Nadu,Flipkart,Tamil,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Maharashtra,Myntra,Bengali,Legit
Received the item in good condition. Works as expected.,2,West Bengal,Amazon,English,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Maharashtra,Flipkart,Hindi,Fake
Fits well and is comfortable for long periods of use.,5,Delhi,Myntra,Hindi,Legit
Received the item in good condition. Works as expected.,2,Maharashtra,Flipkart,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,2,West Bengal,Snapdeal,Telugu,Legit
Decent product for the price. Packaging could be better though.,2,Karnataka,Zomato,Tamil,Legit
Received the item in good condition. Works as expected.,5,West Bengal,Zomato,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Karnataka,Amazon,Tamil,Legit
Fits well and is comfortable for long periods of use.,4,Tamil Nadu,Flipkart,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Delhi,Snapdeal,Telugu,Legit
Fits well and is comfortable for long periods of use.,2,West Bengal,Myntra,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Maharashtra,Myntra,Bengali,Legit
Received the item in good condition. Works as expected.,4,Karnataka,Zomato,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Maharashtra,Zomato,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,Karnataka,Flipkart,Telugu,Fake
Received the item in good condition. Works as expected.,3,West Bengal,Amazon,Tamil,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,West Bengal,Amazon,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Maharashtra,Amazon,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Tamil Nadu,Amazon,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,Karnataka,Zomato,English,Fake
Great product. Great service. Great everything.,2,West Bengal,Snapdeal,Telugu,Fake
Decent product for the price. Packaging could be better though.,1,Tamil Nadu,Zomato,English,Legit
Great product. Great service. Great everything.,4,Maharashtra,Flipkart,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,3,Karnataka,Flipkart,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,West Bengal,Snapdeal,English,Legit
Decent product for the price. Packaging could be better though.,1,Maharashtra,Amazon,Bengali,Legit
Great product. Great service. Great everything.,5,Tamil Nadu,Snapdeal,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Karnataka,Flipkart,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Maharashtra,Snapdeal,Bengali,Fake
OMG this is the best phone in the universe!!!!,3,Tamil Nadu,Myntra,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Delhi,Snapdeal,Tamil,Legit
Great product. Great service. Great everything.,3,West Bengal,Myntra,Telugu,Fake
Decent product for the price. Packaging could be better though.,5,Delhi,Zomato,Telugu,Legit
Decent product for the price. Packaging could be better though.,4,Maharashtra,Flipkart,Bengali,Legit
Fits well and is comfortable for long periods of use.,3,Maharashtra,Myntra,Telugu,Legit
Received the item in good condition. Works as expected.,2,Karnataka,Snapdeal,Telugu,Legit
Great product. Great service. Great everything.,3,West Bengal,Myntra,Hindi,Fake
Decent product for the price. Packaging could be better though.,3,Maharashtra,Zomato,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,West Bengal,Snapdeal,Tamil,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,3,Delhi,Snapdeal,Hindi,Legit
OMG this is the best phone in the universe!!!!,4,Maharashtra,Zomato,Telugu,Fake
Decent product for the price. Packaging could be better though.,2,Tamil Nadu,Myntra,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,Karnataka,Snapdeal,Bengali,Fake
Decent product for the price. Packaging could be better though.,2,Delhi,Myntra,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,West Bengal,Amazon,Tamil,Fake
Great product. Great service. Great everything.,1,Tamil Nadu,Myntra,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Maharashtra,Myntra,Bengali,Fake
Fits well and is comfortable for long periods of use.,2,Karnataka,Zomato,Hindi,Legit
Decent product for the price. Packaging could be better though.,1,West Bengal,Flipkart,Tamil,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Tamil Nadu,Snapdeal,Bengali,Legit
Fits well and is comfortable for long periods of use.,2,Maharashtra,Myntra,English,Legit
Received the item in good condition. Works as expected.,1,Karnataka,Flipkart,Telugu,Legit
Fits well and is comfortable for long periods of use.,1,Tamil Nadu,Flipkart,English,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Delhi,Snapdeal,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Karnataka,Flipkart,English,Fake
OMG this is the best phone in the universe!!!!,2,West Bengal,Flipkart,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,5,Tamil Nadu,Amazon,Bengali,Legit
Fits well and is comfortable for long periods of use.,2,Karnataka,Snapdeal,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Tamil Nadu,Myntra,Tamil,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Tamil Nadu,Flipkart,Hindi,Fake
Great product. Great service. Great everything.,4,West Bengal,Flipkart,Tamil,Fake
Great product. Great service. Great everything.,1,Karnataka,Zomato,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,West Bengal,Flipkart,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,West Bengal,Myntra,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,West Bengal,Myntra,Tamil,Legit
Decent product for the price. Packaging could be better though.,5,Tamil Nadu,Myntra,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Maharashtra,Snapdeal,Telugu,Fake
Decent product for the price. Packaging could be better though.,5,Delhi,Myntra,Bengali,Legit
Great product. Great service. Great everything.,2,Maharashtra,Snapdeal,Tamil,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Maharashtra,Zomato,English,Fake
Decent product for the price. Packaging could be better though.,2,Maharashtra,Snapdeal,Tamil,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Tamil Nadu,Amazon,English,Fake
Received the item in good condition. Works as expected.,4,Tamil Nadu,Snapdeal,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,1,Tamil Nadu,Amazon,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,Maharashtra,Snapdeal,English,Fake
Received the item in good condition. Works as expected.,1,Tamil Nadu,Snapdeal,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Delhi,Snapdeal,English,Fake
Received the item in good condition. Works as expected.,3,Karnataka,Amazon,Hindi,Legit
Received the item in good condition. Works as expected.,2,Karnataka,Myntra,English,Legit
Decent product for the price. Packaging could be better though.,4,Delhi,Amazon,English,Legit
Great product. Great service. Great everything.,3,Maharashtra,Snapdeal,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Maharashtra,Myntra,Telugu,Fake
Great product. Great service. Great everything.,5,Maharashtra,Amazon,Hindi,Fake
Fits well and is comfortable for long periods of use.,1,Delhi,Flipkart,English,Legit
Fits well and is comfortable for long periods of use.,3,Delhi,Zomato,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Tamil Nadu,Snapdeal,Telugu,Legit
Fits well and is comfortable for long periods of use.,4,Delhi,Flipkart,Hindi,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,Karnataka,Myntra,Bengali,Legit
Great product. Great service. Great everything.,1,Maharashtra,Flipkart,Bengali,Fake
Received the item in good condition. Works as expected.,5,Maharashtra,Zomato,Hindi,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Snapdeal,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Tamil Nadu,Zomato,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Zomato,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,Maharashtra,Amazon,Tamil,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Amazon,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Tamil Nadu,Myntra,Tamil,Fake
Great product. Great service. Great everything.,2,Tamil Nadu,Snapdeal,Hindi,Fake
Fits well and is comfortable for long periods of use.,3,Karnataka,Myntra,Tamil,Legit
OMG this is the best phone in the universe!!!!,3,Karnataka,Snapdeal,Tamil,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Maharashtra,Flipkart,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,Tamil Nadu,Amazon,Bengali,Fake
Fits well and is comfortable for long periods of use.,3,Tamil Nadu,Amazon,English,Legit
Great product. Great service. Great everything.,3,Karnataka,Amazon,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,5,Maharashtra,Snapdeal,Telugu,Fake
Decent product for the price. Packaging could be better though.,1,West Bengal,Flipkart,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,Tamil Nadu,Snapdeal,Telugu,Fake
Great product. Great service. Great everything.,3,Karnataka,Amazon,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Maharashtra,Snapdeal,Bengali,Fake
Received the item in good condition. Works as expected.,1,Delhi,Myntra,English,Legit
Decent product for the price. Packaging could be better though.,1,Maharashtra,Flipkart,Tamil,Legit
Fits well and is comfortable for long periods of use.,5,Tamil Nadu,Zomato,Telugu,Legit
OMG this is the best phone in the universe!!!!,3,Maharashtra,Amazon,English,Fake
Decent product for the price. Packaging could be better though.,1,Tamil Nadu,Zomato,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Delhi,Snapdeal,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Maharashtra,Zomato,Hindi,Legit
OMG this is the best phone in the universe!!!!,1,Tamil Nadu,Zomato,Bengali,Fake
Received the item in good condition. Works as expected.,2,West Bengal,Flipkart,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Maharashtra,Zomato,English,Legit
Fits well and is comfortable for long periods of use.,3,Delhi,Snapdeal,Telugu,Legit
Great product. Great service. Great everything.,3,Karnataka,Amazon,Tamil,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Zomato,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,West Bengal,Snapdeal,Bengali,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,1,Karnataka,Myntra,Tamil,Fake
Great product. Great service. Great everything.,1,Maharashtra,Flipkart,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Zomato,English,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Karnataka,Flipkart,Hindi,Legit
Fits well and is comfortable for long periods of use.,2,Maharashtra,Flipkart,Hindi,Legit
Received the item in good condition. Works as expected.,5,Delhi,Myntra,Telugu,Legit
Decent product for the price. Packaging could be better though.,5,Maharashtra,Myntra,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Delhi,Amazon,Telugu,Fake
OMG this is the best phone in the universe!!!!,1,Delhi,Amazon,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Maharashtra,Snapdeal,Hindi,Fake
Fits well and is comfortable for long periods of use.,1,West Bengal,Snapdeal,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Delhi,Zomato,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,West Bengal,Zomato,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Maharashtra,Zomato,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Delhi,Zomato,Hindi,Legit
Received the item in good condition. Works as expected.,2,Karnataka,Flipkart,Tamil,Legit
Great product. Great service. Great everything.,1,West Bengal,Flipkart,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,West Bengal,Myntra,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,3,Delhi,Amazon,Hindi,Fake
Great product. Great service. Great everything.,2,Tamil Nadu,Myntra,Telugu,Fake
